Kategori,pengalaman,label
"Harus mampu menciptakan suatu ruang sebagai wadah untuk berdiskusi dan berkolaborasi bersama dengan rekan guru dengan tujuan peningkatan kualitas dalam pembelajaran","Tidak menyediakan platform untuk berbagi sumber daya atau ide","Guru penggerak belum melakukan perannya secara optimal"
"Harus mampu menciptakan suatu ruang sebagai wadah untuk berdiskusi dan berkolaborasi bersama dengan rekan guru dengan tujuan peningkatan kualitas dalam pembelajaran","Tidak membuat lingkungan yang kondusif untuk kolaborasi","Guru penggerak belum melakukan perannya secara optimal"
"Harus mampu menciptakan suatu ruang sebagai wadah untuk berdiskusi dan berkolaborasi bersama dengan rekan guru dengan tujuan peningkatan kualitas dalam pembelajaran","Tidak mengadakan pertemuan yang terjadwal untuk membahas masalah pembelajaran","Guru penggerak belum melakukan perannya secara optimal"
"Harus mampu menciptakan suatu ruang sebagai wadah untuk berdiskusi dan berkolaborasi bersama dengan rekan guru dengan tujuan peningkatan kualitas dalam pembelajaran","Tidak mendorong partisipasi dalam komunitas pembelajaran profesional","Guru penggerak belum melakukan perannya secara optimal"
"Harus mampu menciptakan suatu ruang sebagai wadah untuk berdiskusi dan berkolaborasi bersama dengan rekan guru dengan tujuan peningkatan kualitas dalam pembelajaran","Tidak menciptakan ruang untuk diskusi yang kritis atau inovasi","Guru penggerak belum melakukan perannya secara optimal"
"Harus mampu menciptakan suatu ruang sebagai wadah untuk berdiskusi dan berkolaborasi bersama dengan rekan guru dengan tujuan peningkatan kualitas dalam pembelajaran","Tidak memberikan waktu atau dukungan untuk berkolaborasi","Guru penggerak belum melakukan perannya secara optimal"
"Harus mampu menciptakan suatu ruang sebagai wadah untuk berdiskusi dan berkolaborasi bersama dengan rekan guru dengan tujuan peningkatan kualitas dalam pembelajaran","Tidak menyediakan akses ke sumber daya pembelajaran","Guru penggerak belum melakukan perannya secara optimal"
"Harus mampu menciptakan suatu ruang sebagai wadah untuk berdiskusi dan berkolaborasi bersama dengan rekan guru dengan tujuan peningkatan kualitas dalam pembelajaran","Tidak mengadakan grup diskusi online atau sesi mentoring","Guru penggerak belum melakukan perannya secara optimal"
"Harus mampu menciptakan suatu ruang sebagai wadah untuk berdiskusi dan berkolaborasi bersama dengan rekan guru dengan tujuan peningkatan kualitas dalam pembelajaran","Tidak mendorong eksperimen atau inovasi dalam pembelajaran","Guru penggerak belum melakukan perannya secara optimal"
"Harus mampu menciptakan suatu ruang sebagai wadah untuk berdiskusi dan berkolaborasi bersama dengan rekan guru dengan tujuan peningkatan kualitas dalam pembelajaran","Tidak mendukung proyek kolaboratif antar guru","Guru penggerak belum melakukan perannya secara optimal"
"Harus mampu menciptakan suatu ruang sebagai wadah untuk berdiskusi dan berkolaborasi bersama dengan rekan guru dengan tujuan peningkatan kualitas dalam pembelajaran","Tidak memfasilitasi budaya kerja yang berfokus pada pembelajaran bersama","Guru penggerak belum melakukan perannya secara optimal"
"Harus mampu menciptakan suatu ruang sebagai wadah untuk berdiskusi dan berkolaborasi bersama dengan rekan guru dengan tujuan peningkatan kualitas dalam pembelajaran","Tidak memperhatikan kebutuhan untuk pertumbuhan profesional dan kolaboratif","Guru penggerak belum melakukan perannya secara optimal"
"Harus mampu menciptakan suatu ruang sebagai wadah untuk berdiskusi dan berkolaborasi bersama dengan rekan guru dengan tujuan peningkatan kualitas dalam pembelajaran","Tidak menghargai atau mendorong kontribusi guru dalam diskusi atau kolaborasi","Guru penggerak belum melakukan perannya secara optimal"
"Harus mampu menciptakan suatu ruang sebagai wadah untuk berdiskusi dan berkolaborasi bersama dengan rekan guru dengan tujuan peningkatan kualitas dalam pembelajaran","Tidak menyediakan dukungan atau sumber daya untuk pengembangan kolektif","Guru penggerak belum melakukan perannya secara optimal"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Memperhatikan kebutuhan emosional siswa","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Membangun hubungan yang positif dengan siswa","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Menciptakan lingkungan yang inklusif","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Menyediakan dukungan sosial bagi siswa","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Membuat aturan kelas yang jelas dan adil","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Memfasilitasi diskusi terbuka dan terhormat","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Membuat suasana yang tenang dan terstruktur","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Menggunakan teknik manajemen kelas yang efektif","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Mengajarkan keterampilan resolusi konflik kepada siswa","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Mendorong kerja sama dan kolaborasi antar siswa","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Memberikan umpan balik yang konstruktif dan mendukung","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Mendukung keberagaman dan perspektif yang berbeda","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Menyediakan waktu untuk refleksi dan introspeksi","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Mendorong kemandirian dan tanggung jawab siswa","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Memfasilitasi aktivitas yang menstimulasi kreativitas dan pemikiran kritis","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Menghargai dan merayakan pencapaian siswa","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Menyediakan ruang untuk ekspresi dan pengekspresian diri","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Mengintegrasikan nilai-nilai moral dan etika dalam pembelajaran","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Memperhatikan kesejahteraan mental dan emosional siswa","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Melibatkan siswa dalam proses pengambilan keputusan di kelas","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Tidak memperhatikan kebutuhan emosional siswa","Guru Penggerak belum melakukan perannya secara optimal"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Tidak membangun hubungan yang positif dengan siswa","Guru Penggerak belum melakukan perannya secara optimal"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Tidak menciptakan lingkungan yang inklusif","Guru Penggerak belum melakukan perannya secara optimal"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Tidak menyediakan dukungan sosial yang cukup bagi siswa","Guru Penggerak belum melakukan perannya secara optimal"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Tidak membuat aturan kelas yang jelas atau adil","Guru Penggerak belum melakukan perannya secara optimal"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Tidak memfasilitasi diskusi yang terbuka dan terhormat","Guru Penggerak belum melakukan perannya secara optimal"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Tidak menciptakan suasana yang tenang atau terstruktur","Guru Penggerak belum melakukan perannya secara optimal"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Tidak menggunakan teknik manajemen kelas yang efektif","Guru Penggerak belum melakukan perannya secara optimal"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Tidak mengajarkan keterampilan resolusi konflik kepada siswa","Guru Penggerak belum melakukan perannya secara optimal"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Tidak mendorong kerja sama atau kolaborasi antar siswa","Guru Penggerak belum melakukan perannya secara optimal"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Tidak memberikan umpan balik yang memadai kepada siswa","Guru Penggerak belum melakukan perannya secara optimal"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Tidak mendukung keberagaman atau perspektif yang berbeda","Guru Penggerak belum melakukan perannya secara optimal"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Tidak menyediakan waktu untuk refleksi atau introspeksi","Guru Penggerak belum melakukan perannya secara optimal"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Tidak mendorong kemandirian atau tanggung jawab siswa","Guru Penggerak belum melakukan perannya secara optimal"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Tidak memfasilitasi aktivitas yang menstimulasi kreativitas atau pemikiran kritis","Guru Penggerak belum melakukan perannya secara optimal"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Tidak menghargai atau merayakan pencapaian siswa","Guru Penggerak belum melakukan perannya secara optimal"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Tidak menyediakan ruang untuk ekspresi atau pengekspresian diri siswa","Guru Penggerak belum melakukan perannya secara optimal"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Tidak mengintegrasikan nilai-nilai moral atau etika dalam pembelajaran","Guru Penggerak belum melakukan perannya secara optimal"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Tidak memperhatikan kesejahteraan mental atau emosional siswa","Guru Penggerak belum melakukan perannya secara optimal"
"Harus menciptakan suasana pembelajaran yang nyaman dan damai sehingga dengan pembelajaran yang nyaman peserta didik terdorong untuk mengembangkan dirinya menjadi pribadi yang bernalar kritis, kreatif, berhati mulia dan memiliki sikap toleransi","Tidak melibatkan siswa dalam proses pengambilan keputusan di kelas","Guru Penggerak belum melakukan perannya secara optimal"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Mengikuti pelatihan dan kursus terkini","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Membaca literatur pendidikan dan penelitian terbaru","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Menghadiri seminar dan konferensi pendidikan","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Menyelidiki teknologi dan metodologi pembelajaran baru","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Berpartisipasi dalam komunitas pembelajaran profesional","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Berlangganan jurnal dan majalah pendidikan","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Mengikuti webinar dan sumber belajar online","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Berkolaborasi dengan rekan guru untuk pertukaran ide","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Mencari umpan balik dari siswa dan rekan kerja","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Memperbarui kurikulum dan materi pengajaran secara berkala","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Membuat rencana pengembangan profesional pribadi","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Melakukan refleksi diri secara teratur","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Menghadiri workshop dan pelatihan yang relevan","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Mengevaluasi dan memperbaiki praktik mengajar secara berkelanjutan","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Mengikuti sertifikasi dan program pengembangan guru","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Menjadi mentor atau tutor untuk rekan guru yang membutuhkan","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Menggunakan teknologi untuk meningkatkan efisiensi belajar","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Memperhatikan tren dan inovasi dalam pendidikan","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Menggali bidang baru atau spesialisasi dalam disiplin tertentu","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Terlibat dalam proyek kolaboratif yang melibatkan pengembangan profesional","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Tidak mengikuti pelatihan atau kursus terbaru","Guru Penggerak belum melakukan perannya secara optimal"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Tidak membaca literatur atau riset terbaru dalam pendidikan","Guru Penggerak belum melakukan perannya secara optimal"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Tidak menghadiri seminar atau konferensi pendidikan","Guru Penggerak belum melakukan perannya secara optimal"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Tidak mencari informasi tentang teknologi atau metodologi baru","Guru Penggerak belum melakukan perannya secara optimal"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Tidak terlibat dalam komunitas pembelajaran profesional","Guru Penggerak belum melakukan perannya secara optimal"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Tidak berlangganan jurnal atau majalah pendidikan","Guru Penggerak belum melakukan perannya secara optimal"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Tidak mengikuti webinar atau sumber belajar online","Guru Penggerak belum melakukan perannya secara optimal"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Tidak berkolaborasi dengan rekan guru untuk pertukaran ide","Guru Penggerak belum melakukan perannya secara optimal"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Tidak mencari umpan balik dari siswa atau rekan kerja","Guru Penggerak belum melakukan perannya secara optimal"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Tidak memperbarui kurikulum atau materi pengajaran secara berkala","Guru Penggerak belum melakukan perannya secara optimal"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Tidak membuat rencana pengembangan profesional pribadi","Guru Penggerak belum melakukan perannya secara optimal"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Tidak melakukan refleksi diri secara teratur","Guru Penggerak belum melakukan perannya secara optimal"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Tidak menghadiri workshop atau pelatihan yang relevan","Guru Penggerak belum melakukan perannya secara optimal"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Tidak mengevaluasi atau memperbaiki praktik mengajar secara berkelanjutan","Guru Penggerak belum melakukan perannya secara optimal"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Tidak mengikuti sertifikasi atau program pengembangan guru","Guru Penggerak belum melakukan perannya secara optimal"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Tidak menjadi mentor atau tutor bagi rekan guru yang membutuhkan","Guru Penggerak belum melakukan perannya secara optimal"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Tidak menggunakan teknologi untuk meningkatkan efisiensi belajar","Guru Penggerak belum melakukan perannya secara optimal"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Tidak memperhatikan tren atau inovasi dalam pendidikan","Guru Penggerak belum melakukan perannya secara optimal"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Tidak menjelajahi bidang baru atau spesialisasi dalam disiplin tertentu","Guru Penggerak belum melakukan perannya secara optimal"
"Guru penggerak harus mampu meningkatkan dan mengembangkan kompetensinya secara mandiri serta selalu mengupgrade dirinya dalam mengikuti perkembangan zaman","Tidak terlibat dalam proyek kolaboratif yang melibatkan pengembangan profesional","Guru Penggerak belum melakukan perannya secara optimal"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Mendorong siswa untuk menetapkan tujuan pribadi","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Memberikan umpan balik positif dan memotivasi","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Menginspirasi rasa percaya diri dan keberanian","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Mendukung siswa dalam mengatasi hambatan","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Membangun hubungan yang mendukung dan terpercaya","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Menciptakan lingkungan yang mendukung pertumbuhan","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Menyediakan model peran yang positif","Guru Penggerak Telah Melakukan Perannya dengan Baik"
